Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
B01322,INFAST BROKERAGE LTD,18/F 8 LYNDHURST TERRACE 2-10 LYNDHURST TERRACE CENTRAL HONG KONG,"17,238",0.00%
B01457,MARS SECURITIES CO LTD,2/F CHUNG NAM HSE 59 DES VOEUX ROAD CENTRAL HONG KONG,"17,208",0.00%
B01604,HUABANG SECURITIES LTD,RM 2901-2902 29/F ENTERPRISE SQUARE TWO 3 SHEUNG YUET ROAD KOWLOON BAY KOWLOON,"17,188",0.00%
B01863,CAPITEC SECURITIES LTD,UNIT 1405-1407 14/F CHINA MERCHANTS STEAM NAVIGATION BLDG 303-307 DES VOEUX ROAD CENTRAL HONG KONG,"17,000",0.00%
B02046,CHINA TIAN YUAN SECURITIES LTD,RM 2907-2908 29/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"17,000",0.00%
B01648,ASIA PACIFIC SECURITIES LTD,SUITE 1005 10/F LANSING HOUSE 41 QUEEN'S ROAD CENTRAL HONG KONG,"16,920",0.00%
B01647,TRUTH SECURITIES LTD,RM 402 4/F KAI WONG COMMERCIAL BUILDING 222 QUEEN'S ROAD CENTRAL HONG KONG,"16,788",0.00%
B01917,CHINA TIMES SECURITIES LTD,RM 503 5/F THE SUN'S GROUP CENTRE 200 GLOUCESTER ROAD HONG KONG,"16,788",0.00%
B01531,LAU & CO LTD,RM 801 PARKER HOUSE 72 QUEEN'S ROAD CENTRAL HONG KONG,"16,664",0.00%
B01809,CHINA SYSTEM SECURITIES LTD,12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG,"15,760",0.00%
B01728,AJ SECURITIES LTD,UNIT 3908-3909 39/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"15,680",0.00%
B01726,C.P. SECURITIES INTERNATIONAL LTD,RM 2707 27/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"15,344",0.00%
B01521,CHAN NGOK MING SECURITIES LTD,RM 201 CONWELL HOUSE 34-38 STANLEY STREET CENTRAL HONG KONG,"15,125",0.00%
B01434,BEEVEST SECURITIES LTD,SUITES 1110-1111 11/F TOWER 6 THE GATEWAY HARBOUR CITY TSIMSHATSUI KOWLOON,"14,776",0.00%
B01739,CHUNG LEE SECURITIES CO LTD,RM 601-602 JUBILEE CENTRE 18 FENWICK STREET WANCHAI HONG KONG,"14,694",0.00%
B01930,PRIME COURAGE SECURITIES CO LTD,UNIT A 23/F 88 LOCKHART ROAD WANCHAI HONG KONG,"14,000",0.00%
B01941,CENTALINE SECURITIES LTD,UNIT 1003-1005 10/F MIRA PLACE TOWER A 132 NATHAN ROAD TSIM SHA TSUI KOWLOON,"13,972",0.00%
B01751,JOHN & WONG SECURITIES CO LTD,9/F MALAHON CENTRE 10-12 STANLEY STREET HONG KONG,"13,738",0.00%
B01771,ETERNAL PEARL SECURITIES LTD,19/F 88 GLOUCESTER ROAD WANCHAI HONG KONG,"13,656",0.00%
B01372,FIRST WORLDSEC SECURITIES LTD,RM 1003 10/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"13,604",0.00%
B01669,FIRST SECURITIES (HK) LTD,RM 1708-1710 17/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"12,960",0.00%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,29/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"12,604",0.00%
B01882,PING AN OF CHINA SECURITIES (HONG KONG),UNITS 3611-3613 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"12,128",0.00%
B01487,MAXSON SECURITIES LTD,FLAT 5B LLOYDS COMMERCIAL CENTRE 8 WING LOK STREET SHEUNG WAN HONG KONG,"12,000",0.00%
B01741,SINOMAX SECURITIES LTD,UNIT 2705-2706 27/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG,"11,868",0.00%
B01831,GLORY SKY GLOBAL MARKETS LTD,13/F AIA TOWER 183 ELECTRIC ROAD NORTH POINT HONG KONG,"11,868",0.00%
,YEUNG MIU YING *,FLAT A 15/F BLOCK 2 EDEN GARDEN 9-11 LOK FUNG PATH FO TAN SHATIN NEW TERRITORIES,"11,760",0.00%
B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,UNIT A2 32/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"11,504",0.00%
B01962,CHINA SECURITIES (INTERNATIONAL),18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"11,500",0.00%
B01410,CHINA RICH SECURITIES LTD,UNIT 1401 14/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"11,424",0.00%
B01417,CHEE TAK SECURITIES LTD,13/F WING YEE COMMERCIAL BLDG 5 WING KUT STREET CENTRAL HONG KONG,"11,097",0.00%
B01716,ORIENT SECURITIES LTD,RM 3101 31/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"11,000",0.00%
B01080,VMS SECURITIES LTD,49/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"10,960",0.00%
B01942,SINO WEALTH SECURITIES LTD,UNIT 2401 24/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,"10,892",0.00%
B01753,FORTUNE (HK) SECURITIES LTD,ROOM 4301-4308 & 4313 COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"10,260",0.00%
B01645,SELINA & CO LTD,RM 601-602 6/F PETER BUILDING 58-60 QUEEN'S ROAD CENTRAL HONG KONG,"10,052",0.00%
B01906,SUN INTERNATIONAL SECURITIES LTD,UNIT 2412-2413 24/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"10,024",0.00%
,CHAN YIM TAO MARGARET *,FLAT A 8/F BLOCK A-B GREENVIEW GARDENS 125 ROBINSON ROAD HONG KONG,"10,000",0.00%
B01915,9F PRIMASIA SECURITIES LTD,SUITE 4806-07 48/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"10,000",0.00%
B01980,SSIF SECURITIES LTD,UNIT A 29/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,"10,000",0.00%
B02036,DAKIN SECURITIES LTD,RM 2701 ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,"10,000",0.00%
B01528,EAA SECURITIES LTD,UNIT 2306 23/F 9 QUEEN'S ROAD CENTRAL HONG KONG,"9,988",0.00%
B01773,TOYO SECURITIES ASIA LTD,UNIT 502 5/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG,"9,620",0.00%
B01608,TAIWAN CONCORD CAPITAL SECURITIES (HONG,18/F CENTRAL TOWER 28 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"9,576",0.00%
B01978,FOUNDER SECURITIES (HONG KONG) LTD,SUITES 1710-1719 JARDINE HOUSE 1 CONNAUGHT PLACE CENTRAL HONG KONG,"9,500",0.00%
,FUNG SHIU LAN RUBY *,LOT 1098 DD 253 PAK SHEK WO CLEAR WATER BAY ROAD TSENG LAN SHUE SAI KUNG NEW TERRITORIES,"9,000",0.00%
B01421,CSL SECURITIES LTD,RM 1406-1412 14/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"8,896",0.00%
B01569,TANG PING KONG LTD,UNIT 306 3/F PRINTING HOUSE 6 DUDDELL STREET CENTRAL HONG KONG,"8,592",0.00%
B01523,EVER-LONG SECURITIES CO LTD,18/F DAH SING LIFE BUILDING 99 DES VOEUX ROAD CENTRAL HONG KONG,"8,552",0.00%
B01402,PHOENIX CAPITAL SECURITIES LTD,RM 503 5/F TOWER II ADMIRALTY CENTRE 18 HARCOURT ROAD HONG KONG,"8,156",0.00%
,FENG MAN CHIK ALEX *,FLAT C 32/F TOWER 1 TRINITY TOWERS 339 LAI CHI KOK ROAD SHAM SHUI PO KOWLOON,"7,736",0.00%
B01501,GOLDRIDE SECURITIES LTD,17/F 8 LYNDHURST TERRACE NO. 2-10 LYNDHURST TERRACE CENTRAL HONG KONG,"7,556",0.00%
B01477,FT SECURITIES LTD,22/F FORTIS TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"7,526",0.00%
B01660,GRANSING SECURITIES CO LTD,17/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"7,526",0.00%
B01702,BLACK MARBLE SECURITIES LTD,21/F THE WELLINGTON 184-198 WELLINGTON STREET CENTRAL HONG KONG,"7,500",0.00%
B01650,KAM LUEN SECURITIES LTD,UNIT 2702 27/F GOLDEN CENTRE 188 DES VOEUX ROAD CENTRAL HONG KONG,"7,377",0.00%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,"UNITS 2503, 2505-2506 25/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","7,340",0.00%
B01346,CHINA PACIFIC SECURITIES LTD,RM 1008 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"7,000",0.00%
B01653,WAI MAN STOCK & SHARES CO LTD,RM 2 2/F LAI KWAN COURT 438 CASTLE PEAK ROAD CHEUNG SHA WAN KOWLOON,"7,000",0.00%
C00099,"TAISHIN INTERNATIONAL BANK CO., LTD",6/F SUN LIFE TOWER THE GATEWAY 15 CANTON ROAD TSIMSHATSUI KOWLOON,"7,000",0.00%
B01768,WINTONE SECURITIES LTD,RM 1304 13/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG,"6,420",0.00%
B01385,FAIRWIN BROKING LTD,RM 11 7/F LIPPO SUN PLAZA 28 CANTON ROAD TSIM SHA TSUI KOWLOON,"6,052",0.00%
B01404,HONG KONG STOCK LINK SECURITIES LTD,11A CKK COMMERCIAL CENTRE 289 HENNESSY ROAD WANCHAI HONG KONG,"6,052",0.00%
B01900,ORIENT SECURITIES (HONG KONG) LTD,28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG,"6,052",0.00%
,YIP LAI YING *,UNIT C 3/F TOWER 1 VISTA PARADISO 2 HANG MING STREET MA ON SHAN NEW TERRITORIES,"6,000",0.00%
B01833,CTBC ASIA LTD,RM 2809 28/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"6,000",0.00%
B01875,GUODU SECURITIES (HONG KONG) LTD,RM 1307 13/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"6,000",0.00%
B01969,CM SECURITIES (HONGKONG) CO LTD,SUITE 1004 10/F CITIBANK PLAZA ICBC TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"6,000",0.00%
B02096,AFG SECURITIES LTD,RM B 17/F FORTUNE HOUSE 61 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"6,000",0.00%
B01260,LAMTEX SECURITIES LTD,RM 716 STAR HOUSE 3 SALISBURY ROAD TSIMSHATSUI KOWLOON,"5,814",0.00%
B01720,NORMAN KONG SECURITIES CO LTD,RM 504 MONGKOK COMMERCIAL CENTRE 16 ARGYLE STREET MONGKOK KOWLOON,"5,788",0.00%
B01802,REDFORD SECURITIES LTD,RM 2705 27/F SINO PLAZA 255-257 GLOUCESTER ROAD CAUSEWAY BAY HONG KONG,"5,788",0.00%
B01679,TAI FUNG SECURITIES LTD,3/F TACK BUILDING 48 GILMAN STREET HONG KONG,"5,552",0.00%
B01907,CHINA DEMETER SECURITIES LTD,3/F CENTRAL 88 88-98 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"5,500",0.00%
B01776,AIF SECURITIES LTD,RM 3206 32/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"5,304",0.00%
B01732,WINTECH SECURITIES LTD,UNIT F 20/F CHINA OVERSEAS BUILDING 139 HENNESSY ROAD WANCHAI HONG KONG,"5,052",0.00%
B01975,SUPREME CHINA SECURITIES LTD,SUITES 2701-2702 27/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG,"5,000",0.00%
B02020,WEALTH LINK SECURITIES LTD,UNIT B1 5/F GUANGDONG INVESTMENT TOWER 148 CONNAUGHT ROAD CENTRAL HONG KONG,"4,868",0.00%
B01745,EVERGREEN SECURITIES LTD,RM B-D 3/F SHING HING COMMERCIAL BUILDING 21-27 WING KUT STREET HONG KONG,"4,684",0.00%
B02093,UPMAX SECURITIES LTD,RM 1717 CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL HONG KONG,"4,420",0.00%
B01721,HUA NAN SECURITIES (HK) LTD,6/F KA WAH BANK CENTRE 232 DES VOEUX ROAD CENTRAL HONG KONG,"4,184",0.00%
B01920,TIANDA SECURITIES LTD,SUITES 2401-2410 24/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,"4,052",0.00%
B01859,CLC SECURITIES LTD,13/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"4,000",0.00%
B01756,CHINA SKY SECURITIES LTD,RM 1106 11/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"3,736",0.00%
B01869,SYNERWEALTH FINANCIAL LTD,UNIT A 7/F KING PALACE PLAZA 55 KING YIP STREET KWUN TONG KOWLOON,"3,684",0.00%
B01885,EASTMONEY INTERNATIONAL SECURITIES LTD,UNIT 3203 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"3,500",0.00%
,YU MAN TING *,FLAT 11D BLOCK 13 CITY GARDEN NORTH POINT HONG KONG,"3,420",0.00%
B01772,TENSANT SECURITIES LTD,RM 1103 11/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"3,420",0.00%
B01489,GRAND CARTEL SECURITIES CO LTD,UNIT A 17/F KA WAH BANK CENTRE 232 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"3,368",0.00%
B01937,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,SUITE 1908 19/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"3,184",0.00%
B01638,KILMOREY SECURITIES LTD,ROOM 3001 & 3008-3010 ALEXANDRA HOUSE 18 CHATER ROAD CENTRAL HONG KONG,"3,052",0.00%
B01674,MUNSUN SECURITIES LTD,RM 7809 78/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG,"3,052",0.00%
B01936,MIGHTY BROKERAGE (ASIA) LTD,UNIT 1205B TUNG NING BUILDING 249-253 DES VOEUX ROAD CENTRAL HONG KONG,"3,052",0.00%
,WONG JING YUNG *,RM 219 2/F POK YUE HOUSE POK HONG ESTATE SHATIN NEW TERRITORIES,"3,000",0.00%
B01157,PASAY STOCK AND SHARES LTD,RM 905 WORLD-WIDE HSE 19 DES VOEUX RD CENTRAL HONG KONG,"3,000",0.00%
B01922,SUN SECURITIES LTD,RM 805-806 8/F FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL HONG KONG,"2,920",0.00%
B01329,BLOOMYEARS LTD,RM A & B 3/F WINNER COMMERCIAL BUILDING 401-403 LOCKHART ROAD WANCHAI HONG KONG,"2,759",0.00%
B01921,GONG PING SECURITIES LTD,UNIT D 8/F TOWER B BILLION CENTRE 1 WANG KWONG ROAD KOWLOON BAY KOWLOON,"2,500",0.00%
B01925,BMI SECURITIES LTD,SUITES 909-916 SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG,"2,500",0.00%
B01510,ORIENTAL PATRON SECURITIES LTD,27/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"2,368",0.00%
B01694,POWER SECURITIES CO LTD,RM 503 5/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"2,368",0.00%
B01571,KARFORD SECURITIES LTD,FLAT D 7/F MAN LOK BUILDING 89-93 BONHAM STRAND EAST HONG KONG,"2,052",0.00%
,LAU YIN HUNG *,FLAT 16C FU YUEN 39-49 WANCHAI ROAD WANCHAI HONG KONG,"2,000",0.00%
B01640,BEIJING SECURITIES LTD,25/F OCTA TOWER 8 LAM CHAK STREET KOWLOON BAY KOWLOON,"2,000",0.00%
B01743,CEPA ALLIANCE SECURITIES LTD,UNIT 2603-2605 26/F FWD FINANCIAL CENTRE 308-320 DES VOEUX ROAD CENTRAL HONG KONG,"2,000",0.00%
B01790,SHINENEX SECURITIES LTD,RM 2103 21/F JUBILEE CENTRE 42-46 GLOUCESTER ROAD WANCHAI HONG KONG,"2,000",0.00%
B01857,SOUTH OCEAN SECURITIES LTD,"RM 2011,2015-2016 20/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG","2,000",0.00%
B01375,TAI CHENG SECURITIES LTD,RM 1601-08 16/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"1,868",0.00%
B01403,QUEST STOCKBROKERS (HK) LTD,5/F WING ON CHEONG BUILDING 5 WING LOK STREET SHEUNG WAN HONG KONG,"1,752",0.00%
B01308,GREAT WALL SECURITIES LTD,17/F 148 ELECTRIC ROAD NORTH POINT HONG KONG,"1,684",0.00%
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,UNITS 2401-2403 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"1,684",0.00%
B02009,GOLDEN RICH SECURITIES LTD,22/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG,"1,504",0.00%
B01580,WIN WIND SECURITIES LTD,25/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG,"1,500",0.00%
B01631,TAI UNITED SECURITIES LTD,UNIT 810 L8 CORE F CYBERPORT 3 100 CYBERPORT ROAD HONG KONG,"1,500",0.00%
B01823,ANGLO CHINESE SECURITIES LTD,40/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"1,500",0.00%
B02049,PACIFIC INTERNATIONAL SECURITIES LTD,SUITE 1003 10/F SILVERCORD TOWER 1 30 CANTON ROAD TSIM SHA TSUI KOWLOON,"1,500",0.00%
B02097,POLY WEALTH SECURITIES LTD,RM 2802 28/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"1,500",0.00%
B01627,CHINA INNOVATIVE FINANCE SECURITIES LTD,UNIT 1410 14/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"1,368",0.00%
B01641,FULL WIN SECURITIES LTD,RM 1101 11/F YUE SHING COMMERCIAL BUILDING 15-16 QUEEN VICTORIA STREET CENTRAL HONG KONG,"1,368",0.00%
B01935,JTI SECURITIES LTD,RM 1101 11/F 88 GLOUCESTER ROAD WANCHAI HONG KONG,"1,368",0.00%
B02068,CANFIELD SECURITIES CO LTD,SUITE 7707 77/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"1,368",0.00%
B01471,PACIFIC CHALLENGE SECURITIES LTD,RM 1707-1709 17/F HARBOUR CENTRE 25 HARBOUR ROAD WANCHAI HONG KONG,"1,284",0.00%
B01625,METRO CAPITAL SECURITIES LTD,UNIT 502 5/F VERTICAL SQ 28 HEUNG YIP ROAD WONG CHUK HANG HONG KONG,"1,184",0.00%
B01754,SINOFORTUNE SECURITIES LTD,16/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG,"1,184",0.00%
B01860,KVB KUNLUN SECURITIES (HK) LTD,SUITE 6801 68/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"1,184",0.00%
,CHEUNG YUEN YU *,FLAT B 32/F BLOCK 7 CHELSEA HEIGHTS TUEN MUN NEW TERRITORIES,"1,000",0.00%
,TANG CHEUNG *,RM 1502 15/F BLOCK B YUK TAO HOUSE TUNG TAO COURT SHAU KI WAN HONG KONG,"1,000",0.00%
B01192,SATINU MARKETS LTD,26/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG,"1,000",0.00%
B01574,WADER SECURITIES CO LTD,RM 602 YIP FUNG BUILDING 2-18 D'AGUILAR STREET CENTRAL HONG KONG,"1,000",0.00%
B01785,PARTNERS CAPITAL SECURITIES LTD,RM 803B 8/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD HONG KONG,"1,000",0.00%
B01891,GOLDENWAY INVESTMENTS (HK) LTD,28/F TOWER 2 THE GATEWAY HARBOUR CITY TSIMSHATSUI KOWLOON,"1,000",0.00%
B01945,INTEGRITY SECURITIES LTD,UNIT 3 18/F YUE XIU BUILDING 160-174 LOCKHART ROAD WANCHAI HONG KONG,"1,000",0.00%
,MAN SAU HAN BECKY *,NO.15 SIXTH STREET SECTION B FAIRVIEW PARK YUEN LONG NEW TERRITORIES,684,0.00%
B01670,HING SHING SECURITIES LTD,RM 701 TOWER 1 ADMIRALTY CENTRE ADMIRALTY HONG KONG,684,0.00%
B01977,ZHONGCAI SECURITIES LTD,3/F ZHONGCAI CENTRE 131 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,684,0.00%
B01999,CF SECURITIES LTD,UNIT B 25/F TOWER B BILLION CENTRE 1 WANG KWONG ROAD KOWLOON,684,0.00%
B01110,J.P. MORGAN BROKING (HONG KONG) LTD,48/F ONE ISLAND EAST 18 WESTLANDS ROAD ISLAND EAST HONG KONG,600,0.00%
,CHEUNG YEE LAINE *,FLAT A 6/F HARRISON COURT PHASE 4 9 MAN WAN ROAD HOMANTIN KOWLOON,500,0.00%
,CHUNG MAN CHIN *,FLAT A 8/F BLOCK 1 CASCADES 93 CHUNG HAU STREET HOMANTIN KOWLOON,500,0.00%
B01738,CES CAPITAL INTERNATIONAL (HONG KONG) CO,22/F JUBILEE CENTRE 18 FENWICK STREET WANCHAI HONG KONG,500,0.00%
B01810,ASTRUM CAPITAL MANAGEMENT LTD,RM 2704 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,500,0.00%
B01883,CHINA RISE SECURITIES ASSET MANAGEMENT,10/F ISLAND PLACE TOWER 510 KING'S ROAD NORTH POINT HONG KONG,500,0.00%
B01971,HGNH INTERNATIONAL SECURITIES CO LTD,9/F & 16/F KA WAH BANK CENTRE 232 DES VOEUX ROAD CENTRAL HONG KONG,500,0.00%
B01974,ARISTO SECURITIES LTD,RM 101 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG,500,0.00%
B01986,HUAJIN SECURITIES (INTERNATIONAL) LTD,SUITE 1101 11/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,500,0.00%
B01988,KOALA SECURITIES LTD,UNITS 1301-1302 13/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG,500,0.00%
B01991,HF SECURITIES AND FUTURES LTD,RM 1606 16/F SOUTH TOWER CONCORDIA PLAZA 1 SCIENCE MUSEUM ROAD TSIM SHA TSUI KOWLOON,500,0.00%
B02022,CHAOSHANG SECURITIES LTD,RM 4001-4002 40/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,500,0.00%
B02044,FERRAN SECURITIES LTD,RM 1201 OTB BUILDING 259-265 DES VOEUX ROAD CENTRAL HONG KONG,500,0.00%
B02045,AAA SECURITIES CO. LTD,SUITE 6B 89 WING LOK STREET HONG KONG,500,0.00%
B02052,YUZHOU FINANCIAL HOLDINGS LTD,FLAT E 6/F YARDLEY COMMERCIAL BUILDING 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG,500,0.00%
B02075,INNOVAX SECURITIES LTD,UNIT A-C 20/F NEICH TOWER 128 GLOUCESTER ROAD WANCHAI HONG KONG,500,0.00%
B01156,WING LUNG SECURITIES LTD,45/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,2,0.00%
